0 0.633618 -0.633618
50 0.727578 -0.0552963
100 0.310899 0.336994
150 0.24594 0.206149
200 0.1699 -0.0613492
250 0.123821 -0.084157
300 0.082296 -0.00516919
350 0.0579567 0.0267751
400 0.0414045 0.0150483
450 0.0297803 -0.00310244
500 0.0212485 -0.00710227
550 0.0151369 -0.00146393
600 0.0107948 0.00204395
650 0.00771503 0.00153038
700 0.00551543 -0.000147413
750 0.00394142 -0.000625583
800 0.00281583 -0.000216797
850 0.00201195 0.000153077
900 0.00143783 0.000145561
950 0.00102761 4.76474e-06
1000 0.000734418 -5.43901e-05
1050 0.000524867 -2.45655e-05
1100 0.000375112 1.02227e-05
1150 0.000268091 1.38585e-05
1200 0.000191605 1.93682e-06
1250 0.000136941 -4.45533e-06
1300 9.78722e-05 -2.64413e-06
1350 6.99495e-05 5.90715e-07
1400 4.99931e-05 1.2635e-06
1450 3.573e-05 3.1467e-07
1500 2.55361e-05 -3.48354e-07
1550 1.82503e-05 -2.65826e-07
1600 1.3043e-05 2.26956e-08
1650 9.32134e-06 1.13976e-07
