0 0
250 6.32113e-07
500 4.66426e-07
750 3.47179e-07
1000 2.58633e-07
1250 1.92685e-07
1500 1.43554e-07
1750 1.0695e-07
2000 7.96788e-08
2250 5.93615e-08
2500 4.42248e-08
2750 3.29478e-08
3000 2.45463e-08
3250 1.8287e-08
3500 1.36239e-08
3750 1.01498e-08
4000 7.56159e-09
4250 5.63337e-09
4500 4.19684e-09
4750 3.12663e-09
5000 2.32933e-09
5250 1.73534e-09
5500 1.29282e-09
5750 9.63143e-10
6000 7.17535e-10
6250 5.34559e-10
6500 3.98243e-10
6750 2.96688e-10
7000 2.21031e-10
7250 1.64666e-10
7500 1.22675e-10
7750 9.13919e-11
